grade_ENG,grade_MTH,grade_PHY,grade_CHM,grade_BIO,grade_ECO,grade_GEO,grade_GOV,grade_HIS,grade_LIT,grade_ACC,grade_COM,grade_ARA,grade_ISL,utme_ENG,utme_MTH,utme_PHY,utme_CHM,utme_BIO,utme_ECO,utme_GEO,utme_GOV,utme_HIS,utme_LIT,utme_ACC,utme_COM,utme_ARA,utme_ISL,strength_ENG,strength_MTH,strength_PHY,strength_CHM,strength_BIO,strength_ECO,strength_GEO,strength_GOV,strength_HIS,strength_LIT,strength_ACC,strength_COM,strength_ARA,strength_ISL,weakness_ENG,weakness_MTH,weakness_PHY,weakness_CHM,weakness_BIO,weakness_ECO,weakness_GEO,weakness_GOV,weakness_HIS,weakness_LIT,weakness_ACC,weakness_COM,weakness_ARA,weakness_ISL,career_interest,work_environment,aptitude,label
B2,C5,A1,C4,E8,NONE,B2,E8,NONE,NONE,NONE,B2,NONE,NONE,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Agriculture & Environmental Science,Education & Teaching,5,Architecture
A1,C6,NONE,NONE,C6,C4,C5,F9,NONE,NONE,NONE,D7,NONE,B3,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Public Service & Social Science,Sciences & Mathematics,3,Social Work
C5,A1,NONE,B2,C5,B2,D7,NONE,NONE,A1,C4,NONE,NONE,NONE,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Law & Legal Studies,Law & Legal Studies,3,Agriculture
B3,B3,NONE,NONE,B3,A1,NONE,C6,C4,C4,NONE,NONE,C5,NONE,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Sciences & Mathematics,Business & Management,5,History
C5,A1,C6,C4,E8,NONE,NONE,D7,NONE,NONE,NONE,NONE,D7,C6,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Health & Life Sciences,Law & Legal Studies,5,Chemical Engineering
B3,C4,C5,A1,F9,NONE,C4,NONE,NONE,C4,NONE,NONE,D7,NONE,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Sciences & Mathematics,Agriculture & Environmental Science,1,Architecture
C5,A1,NONE,C5,NONE,E8,C5,C4,C4,NONE,A1,NONE,NONE,NONE,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Law & Legal Studies,Engineering & Computing,5,International Relations
C4,C6,NONE,NONE,NONE,NONE,C6,A1,C4,B3,C6,C6,NONE,NONE,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Engineering & Computing,Health & Life Sciences,2,International Relations
A1,C5,B3,A1,B3,NONE,NONE,NONE,NONE,C4,NONE,C5,NONE,C4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Arts & Humanities,Business & Management,2,Education and Biology
C4,A1,NONE,NONE,NONE,C6,C4,NONE,NONE,C4,F9,C4,NONE,B3,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Health & Life Sciences,Sciences & Mathematics,1,Social Work
B2,C6,NONE,B3,NONE,C6,C4,NONE,NONE,C5,A1,NONE,D7,NONE,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Arts & Humanities,Business & Management,5,Statistics
C4,B2,NONE,B3,C4,A1,NONE,C4,NONE,NONE,B2,NONE,NONE,B3,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Business & Management,Sciences & Mathematics,3,Public Administration
C6,C4,C6,A1,NONE,NONE,NONE,D7,NONE,B3,B3,NONE,NONE,C5,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Law & Legal Studies,Agriculture & Environmental Science,3,Education and Mathematics
B2,C5,B2,NONE,NONE,C5,NONE,B3,B3,C4,B3,NONE,NONE,NONE,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Public Service & Social Science,Health & Life Sciences,1,Political Science
A1,B3,NONE,B3,B2,NONE,NONE,C4,C5,C5,F9,NONE,NONE,NONE,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Sciences & Mathematics,Sciences & Mathematics,4,Mass Communication
B3,C6,B3,NONE,NONE,C6,C4,B2,B2,NONE,B3,NONE,NONE,NONE,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Health & Life Sciences,Agriculture & Environmental Science,5,Political Science
C5,B2,NONE,C4,C5,C4,NONE,B3,NONE,NONE,B3,B3,NONE,NONE,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Law & Legal Studies,Arts & Humanities,1,Accounting
C5,C6,NONE,NONE,NONE,NONE,C5,B2,C4,NONE,A1,A1,C5,NONE,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Sciences & Mathematics,Law & Legal Studies,4,International Relations
C5,C6,C5,B3,B3,B2,C5,NONE,NONE,C4,NONE,NONE,NONE,NONE,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Business & Management,Business & Management,3,Social Work
C4,C5,NONE,NONE,D7,C4,NONE,B3,B2,NONE,B2,C6,NONE,NONE,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Law & Legal Studies,Engineering & Computing,3,Public Administration
C4,C4,NONE,B3,NONE,A1,F9,B3,NONE,NONE,B3,NONE,C5,NONE,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Engineering & Computing,Arts & Humanities,3,Public Administration
C6,B3,C5,NONE,NONE,NONE,A1,C4,C5,C6,C4,NONE,NONE,NONE,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Law & Legal Studies,Arts & Humanities,2,International Relations
B3,B2,B3,C4,NONE,NONE,NONE,E8,B2,C4,NONE,NONE,NONE,D7,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Business & Management,Business & Management,2,Chemical Engineering
C6,A1,B3,C5,NONE,NONE,C4,NONE,NONE,A1,NONE,B3,B2,NONE,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Education & Teaching,Engineering & Computing,4,Architecture
B2,C4,C6,C6,NONE,C4,A1,A1,NONE,E8,NONE,NONE,NONE,NONE,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Engineering & Computing,Agriculture & Environmental Science,3,Architecture
B2,B2,C5,B2,C4,NONE,NONE,D7,NONE,NONE,C5,NONE,NONE,C4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Health & Life Sciences,Sciences & Mathematics,1,Medical Laboratory Science
C4,C6,NONE,B2,NONE,C5,NONE,D7,B3,C6,NONE,NONE,NONE,B3,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Agriculture & Environmental Science,Engineering & Computing,2,Statistics
C6,B2,NONE,B3,C5,C4,NONE,C4,C4,NONE,NONE,NONE,E8,NONE,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Education & Teaching,Agriculture & Environmental Science,3,Statistics
B2,B3,B3,C5,B3,NONE,NONE,A1,NONE,NONE,D7,NONE,NONE,C4,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Education & Teaching,Arts & Humanities,4,Education and Biology
B3,B3,A1,NONE,A1,C5,C5,B3,C6,NONE,NONE,NONE,NONE,NONE,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Education & Teaching,Sciences & Mathematics,5,International Relations
C6,A1,B2,C6,NONE,NONE,C5,B3,NONE,NONE,NONE,NONE,F9,B3,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Agriculture & Environmental Science,Arts & Humanities,5,Architecture
C5,B2,NONE,C6,B2,NONE,NONE,A1,NONE,A1,NONE,NONE,C5,A1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Law & Legal Studies,Engineering & Computing,5,Islamic Law (Sharia)
B2,C5,D7,NONE,NONE,B2,B2,B2,NONE,NONE,C5,C5,NONE,NONE,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Public Service & Social Science,Arts & Humanities,5,Geography
B2,B3,NONE,NONE,B2,C5,NONE,NONE,B3,B2,B3,C4,NONE,NONE,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Law & Legal Studies,Arts & Humanities,2,Accounting
B2,B2,NONE,NONE,NONE,A1,B2,C6,C5,C4,NONE,NONE,NONE,B3,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Law & Legal Studies,Public Service & Social Science,1,Demography and Social Statistics
C4,B2,C4,A1,B2,A1,NONE,NONE,NONE,NONE,NONE,NONE,A1,B2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Business & Management,Agriculture & Environmental Science,1,Biochemistry
B3,B3,B2,C4,C6,A1,NONE,NONE,A1,NONE,NONE,C5,NONE,NONE,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Public Service & Social Science,Public Service & Social Science,4,Chemical Engineering
C5,C6,B3,C6,C4,NONE,NONE,C5,NONE,A1,C6,NONE,NONE,NONE,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Sciences & Mathematics,Business & Management,4,Mathematics
C4,B3,NONE,NONE,NONE,C5,A1,A1,B3,A1,NONE,NONE,B3,NONE,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Arts & Humanities,Education & Teaching,4,Psychology
C5,B3,NONE,F9,NONE,B3,B3,A1,D7,A1,NONE,NONE,NONE,NONE,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Agriculture & Environmental Science,Education & Teaching,4,Economics
C4,C4,NONE,C6,A1,NONE,E8,D7,NONE,NONE,C4,NONE,NONE,E8,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Sciences & Mathematics,Health & Life Sciences,4,Biological Sciences
A1,C5,NONE,B2,C4,B2,C6,B2,NONE,NONE,NONE,NONE,NONE,B2,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Business & Management,Arts & Humanities,3,Economics
C4,C4,NONE,D7,NONE,A1,B2,B3,B3,NONE,C4,NONE,NONE,NONE,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Public Service & Social Science,Engineering & Computing,4,International Relations
A1,A1,B3,C6,NONE,A1,B3,C4,NONE,NONE,NONE,F9,NONE,NONE,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Arts & Humanities,Law & Legal Studies,3,Architecture
C5,A1,A1,B3,B2,B3,F9,NONE,C5,NONE,NONE,NONE,NONE,NONE,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Health & Life Sciences,Business & Management,1,Industrial Mathematics
C4,B2,F9,NONE,NONE,A1,NONE,A1,B3,A1,NONE,C5,NONE,NONE,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Public Service & Social Science,Business & Management,5,Psychology
C5,C4,NONE,NONE,B2,B3,C6,C6,NONE,B3,NONE,NONE,NONE,E8,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Engineering & Computing,Sciences & Mathematics,1,Geography
A1,C4,A1,B2,NONE,A1,B2,NONE,NONE,C4,NONE,NONE,C4,NONE,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Business & Management,Public Service & Social Science,5,Statistics
B3,B2,D7,NONE,NONE,B2,C4,A1,NONE,NONE,NONE,C6,B2,NONE,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Agriculture & Environmental Science,Sciences & Mathematics,2,Economics
B3,D7,NONE,A1,B3,NONE,NONE,B3,B2,C4,NONE,NONE,NONE,C5,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Engineering & Computing,Business & Management,4,Islamic Law (Sharia)
C4,C4,C5,C4,C4,NONE,A1,C5,NONE,NONE,NONE,NONE,NONE,C4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Agriculture & Environmental Science,Business & Management,2,Agriculture
C4,B3,A1,NONE,NONE,NONE,B2,B2,C4,D7,NONE,F9,NONE,NONE,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Arts & Humanities,Sciences & Mathematics,5,International Relations
C4,C6,F9,B2,NONE,C5,C6,A1,NONE,NONE,E8,NONE,NONE,NONE,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Arts & Humanities,Health & Life Sciences,5,Statistics
C4,B2,C4,B2,F9,NONE,C4,B3,D7,NONE,NONE,NONE,NONE,NONE,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Agriculture & Environmental Science,Agriculture & Environmental Science,1,Architecture
C4,C4,C4,A1,NONE,C5,NONE,C6,B2,NONE,NONE,E8,NONE,NONE,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Sciences & Mathematics,Sciences & Mathematics,1,Industrial Mathematics
B3,C6,NONE,NONE,B3,B2,NONE,B2,B3,NONE,NONE,C5,NONE,C5,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Engineering & Computing,Business & Management,1,Political Science
